ID,ageCategoryWeight,sex,averageTime,averageRank,weightedAppearance,yearsOfParticipation,yearsSinceLastParticipation
909,2553,1,10382.75,430.5,9,3,1
913,4038,0,9623.0,533.3333333333334,8,2,1
918,4038,1,9421.333333333334,480.6666666666667,7,2,2
922,1289,1,12050.0,1632.6666666666667,7,2,1
928,5138,1,9405.0,1102.5,4,1,1
936,5529,1,8278.0,827.0,4,1,1
937,5529,1,8677.75,64.75,11,3,1
938,5138,1,6558.0,187.0,4,1,1
942,5138,0,10409.666666666666,828.6666666666666,8,2,1
945,4038,1,13297.5,1471.25,9,3,2
951,2553,1,13373.5,1206.8333333333333,13,5,2
955,5773,1,9113.6,70.6,14,4,1
957,2553,1,9663.333333333334,549.3333333333334,8,2,1
959,5773,1,6407.0,109.5,1,1,13
963,98,1,18747.4,2065.5,20,9,1
971,2553,0,8085.5,730.5,4,1,2
981,5138,1,11677.0,1024.5,6,3,4
985,4038,1,14751.25,2152.0,11,3,1
986,5773,1,10639.0,556.75,11,3,1
996,5529,1,8275.333333333334,174.0,7,2,2
1000,5138,1,10362.333333333334,815.3333333333334,5,2,7
1013,5773,1,10415.333333333334,681.3333333333334,5,2,1
1015,4038,1,7630.0,577.0,4,1,1
1025,5773,0,8717.5,788.0,2,1,10
1026,5529,0,9659.0,1604.0,3,1,4
1031,4038,1,8790.0,67.25,9,3,1
1034,5529,1,10614.5,1599.5,4,1,2
1038,5529,1,16696.4,2515.0,14,4,1
1042,5529,1,8101.5,739.0,4,1,2
1049,5138,1,12780.666666666666,1763.0,7,2,1
1053,630,1,11190.0,1317.0,4,1,1
1057,5773,0,15205.833333333334,2004.3333333333333,16,5,2
1058,5138,0,8799.0,971.5,4,1,1
1059,2553,1,11014.666666666666,1096.6666666666667,8,2,1
1061,5773,0,13510.666666666666,1780.6666666666667,8,2,1
1062,4041,1,9798.0,1175.5,4,1,1
1063,1289,1,17997.222222222223,2400.6666666666665,24,8,1
1065,4038,1,9577.5,1135.0,4,1,1
1066,315,1,7963.0,704.5,4,1,1
1067,1289,0,14268.0,1538.8333333333333,16,5,1
1071,2553,1,14102.0,1978.25,11,3,1
1072,5529,1,8251.0,124.33333333333333,8,2,1
1080,5773,1,8268.333333333334,156.33333333333334,7,2,2
1081,1289,0,10305.5,1301.0,3,1,6
1082,4038,1,5993.5,62.5,4,1,1
1084,4038,0,9656.5,1348.0,4,1,2
1089,2553,1,9536.0,1127.0,4,1,1
1093,4038,1,12957.75,1562.5,11,3,1
1096,5529,1,9423.0,463.0,8,2,1
1101,315,1,9532.333333333334,481.0,7,2,1
1106,2553,1,14893.625,1662.875,22,7,1
1107,4038,0,9390.0,1096.5,4,1,1
1108,2553,1,7582.5,508.0,4,1,2
1114,5773,1,13343.0,1804.0,8,2,1
1116,5138,1,6660.5,216.0,2,1,8
1118,5773,0,13494.25,1821.75,10,3,2
1120,5773,1,7564.5,552.5,4,1,1
1121,2553,1,10081.0,1196.0,2,1,8
1125,4038,1,9281.0,514.0,7,2,1
1131,5529,1,10229.333333333334,755.0,8,2,1
1136,5529,1,13004.166666666666,1177.0,17,5,1
1142,5773,1,6445.0,124.5,4,1,2
1144,5773,1,6361.5,124.5,4,1,1
1146,5529,0,8093.5,735.0,4,1,2
1148,5773,0,14487.833333333334,1451.5,12,5,4
1150,5529,0,9817.5,1646.5,3,1,4
1158,5773,1,8279.5,1059.0,3,1,5
1165,2553,1,7804.0,797.0,3,1,4
1167,5138,0,10771.333333333334,995.3333333333334,8,2,1
1173,5529,1,10142.333333333334,812.3333333333334,6,2,5
1175,4038,1,9297.0,154.0,9,3,2
1183,5138,1,6902.5,302.0,2,1,8
1186,98,1,13763.285714285714,1175.7142857142858,17,6,1
1187,4038,0,9135.333333333334,346.3333333333333,8,2,1
1190,4038,1,12231.0,759.0,9,3,1
1191,5138,1,8889.5,1096.0,4,1,2
1196,2553,0,14778.166666666666,1868.6666666666667,17,5,1
1201,5773,1,7979.0,672.0,4,1,2
1220,5529,1,7530.0,488.5,4,1,2
1224,5529,1,12390.75,1339.25,11,3,1
1233,5773,1,7138.0,396.0,4,1,1
1235,4038,1,5819.0,42.5,4,1,1
1243,630,1,11869.666666666666,1407.6666666666667,8,2,1
1245,5529,0,10294.5,1542.0,4,1,2
1246,5773,1,10724.5,618.0,11,3,1
1249,5529,1,7046.5,362.5,4,1,1
1250,5529,1,11606.75,914.25,9,3,2
1252,4038,0,11731.333333333334,1255.6666666666667,4,2,5
1256,4038,1,13779.0,1331.1666666666667,14,5,1
1257,5529,1,9767.5,1380.5,4,1,2
1272,2553,1,7841.0,621.5,4,1,2
1284,4041,0,7325.0,476.0,4,1,1
1286,4041,1,9960.666666666666,650.6666666666666,8,2,1
1287,1289,1,8742.5,956.0,4,1,1
1289,2553,1,9778.333333333334,778.0,6,2,4
1290,4038,1,8020.0,727.0,4,1,1
1292,5138,1,10352.5,1770.5,3,1,4
1293,5529,1,7776.5,631.5,4,1,1
1297,630,1,18958.333333333332,2490.5,17,5,1
1298,5529,1,10991.875,215.875,21,7,1
1307,5529,1,11948.25,1170.25,11,3,1
1315,4038,1,12353.666666666666,1351.6666666666667,5,2,7
1319,2553,1,7177.0,417.0,4,1,1
1320,2553,1,9663.75,257.75,5,3,7
1333,4038,0,8359.5,862.5,4,1,2
1337,5529,1,8773.0,1261.0,3,1,5
1353,4038,0,6911.5,307.0,4,1,1
1354,4038,0,7663.0,588.5,3,1,7
1355,5138,1,6941.0,316.0,4,1,1
1356,5529,1,6982.0,384.0,3,1,4
1364,630,1,9832.0,1184.5,4,1,1
1367,1289,1,8796.5,1269.5,3,1,5
1377,5529,1,8325.5,846.0,4,1,2
1380,4041,0,8168.0,785.0,4,1,1
1382,4041,1,12823.0,1508.5,9,3,4
1383,1289,1,9424.5,1106.5,4,1,1
1385,5529,1,12647.625,717.75,15,7,1
1389,5773,1,11718.333333333334,1373.3333333333333,8,2,1
1392,4041,1,11485.0,1028.75,9,3,4
1394,4038,1,6103.0,63.0,4,1,2
1396,5138,1,8468.0,397.0,6,2,4
1398,4041,1,10299.5,1243.5,4,1,1
1400,5529,0,7413.0,500.0,4,1,1
1404,5773,1,9048.0,1041.5,4,1,1
1408,1289,1,17220.2,2362.0,14,4,1
1415,5529,1,11676.666666666666,1327.0,8,2,1
1423,5529,1,9402.0,444.0,8,2,1
1429,5773,1,7083.0,310.5,3,1,6
1432,4038,1,7218.5,364.5,4,1,2
1434,4038,1,7942.5,654.5,4,1,2
1440,1723,1,7535.5,490.0,4,1,2
1444,4038,1,14669.1,1218.3,20,9,1
1448,5138,1,8486.0,885.0,4,1,1
1449,5773,1,11942.25,1138.75,11,3,1
1452,1289,1,6890.0,298.5,4,1,1
1453,5529,1,12720.2,941.6,11,4,1
1454,5529,0,13278.666666666666,1269.8333333333333,17,5,1
1457,5773,1,7648.0,535.0,4,1,2
1463,5529,1,8866.0,286.3333333333333,8,2,1
1468,5138,1,10517.333333333334,876.3333333333334,6,2,1
1472,1723,0,12358.333333333334,1428.6666666666667,5,2,4
1473,4041,1,7130.5,394.0,4,1,1
1474,5773,1,11756.0,487.42857142857144,17,6,1
1482,2553,0,11629.5,1346.0,4,1,1
1483,2553,1,7163.0,470.0,3,1,4
1489,4038,1,8448.5,908.5,4,1,2
1490,4038,1,11724.0,732.0,8,4,4
1493,5138,1,6362.5,125.0,4,1,1
1495,5138,0,6772.5,207.5,4,1,2
1498,200,1,13986.333333333334,1471.0,14,5,2
1503,2553,1,8972.0,1026.5,4,1,1
1505,5529,1,7272.5,456.5,4,1,1
1511,5138,1,8306.5,634.0,2,1,9
1515,5773,1,18131.7,2018.1,21,9,1
1518,630,1,13165.833333333334,890.8333333333334,10,5,1
1521,2553,1,13197.142857142857,1039.0,17,6,1
1525,5138,1,9325.5,1085.5,4,1,1
1536,5773,0,12618.333333333334,1734.0,5,2,4
1538,5138,0,16698.2,2296.2,14,4,1
1544,2553,1,9960.5,1206.5,4,1,1
1548,5529,0,7922.5,646.5,4,1,2
1551,5138,1,7092.5,381.5,4,1,1
1553,5529,1,8522.0,896.0,4,1,1
1570,5529,1,6483.0,159.5,4,1,1
1574,4041,1,7355.5,484.0,4,1,1
1589,1289,1,9558.666666666666,498.6666666666667,6,2,2
1592,5773,0,10302.5,1073.5,2,1,10
1593,5529,1,8302.5,831.5,4,1,1
1599,5773,1,7274.0,522.0,3,1,4
1604,630,1,9315.5,1067.5,2,1,8
1606,5773,1,9728.333333333334,645.3333333333334,6,2,4
1609,5138,0,9821.0,1182.5,4,1,1
1612,5138,0,12904.333333333334,1679.6666666666667,8,2,1
1613,1723,1,7118.0,390.0,4,1,1
1623,1289,0,14543.0,1399.875,19,7,1
1626,4038,0,8316.5,837.5,4,1,1
1632,4038,0,8414.5,885.0,4,1,2
1635,4038,1,10672.666666666666,943.6666666666666,8,2,1
1637,5773,1,11431.0,1272.3333333333333,8,2,1
1640,5529,0,16210.538461538461,1667.4615384615386,29,12,1
1643,5529,1,12857.384615384615,557.7692307692307,29,12,1
1645,200,0,13443.0,1072.25,4,3,9
1647,5529,1,11363.0,1248.6666666666667,8,2,1
1651,2553,0,9609.5,1589.5,3,1,4
1659,4038,1,12136.0,887.6666666666666,14,5,4
1661,5773,1,5530.0,30.0,3,1,4
1663,5773,0,11568.0,720.2,14,4,1
1665,5773,1,14731.4,1293.2,6,4,9
1669,4038,1,13990.666666666666,1438.3333333333333,17,5,1
1677,5773,0,8619.0,979.5,4,1,2
1678,5138,0,6309.0,118.0,4,1,1
1699,630,1,6767.0,281.5,3,1,4
1700,1289,1,6405.5,138.5,4,1,1
1702,5773,0,12350.333333333334,1682.6666666666667,6,2,5
1703,315,1,13365.0,1449.0,11,3,1
1716,2553,1,9113.333333333334,344.0,8,2,1
